Stream_Mun,Station ID,DATE_COL,Drunella,Isonychiidae,Epeorus,Peltoperlidae,Perlidae,Pteronarcyidae,MiscSmallStoneflies,Glossosomatidae,Apataniidae,Rhyacophilidae,Brachycentridae,Lepidostomatidae,Most Wanted Count,Hydropsychidae,Philopotamidae,Heptageniidae,Psephenidae,Corydalidae,Anisoptera,Zygoptera,Amphipoda,Isopoda,Hirudinea,Chironimidae,Simuliidae,Gastropoda,Oligochaeta,Tipulidae,Elmidae,Baetidae,Athericidae,Planariidae,Bivalvia
Baker Brook (BOLTON),18821,10/29/2023,,,,,,,,,,,,,0,X,X,,,,,,,,,,,,X,X,,,,,
Barbour Brook (CANTON),16379,10/8/2023,,,,,X,,,,,,,,1,X,X,,,,,,,,,,,,,,,,,,
Barrow's Brook (VERNON),15594,10/28/2023,,,,X,,,,,,X,X,,3,X,X,X,X,,X,,,,,,,,X,X,,X,,,
Beaver Brook (BARKHAMSTED),15680,9/20/2023,,,,X,X,X,X,X,,,,,5,X,X,X,X,X,,,,,,,X,,X,X,,X,,,
Big Brook (SALEM),17992,9/6/2023,,,,,X,,,,,X,,,2,X,X,X,X,X,,,,,,,,,,,,X,,,
Bigelow Brook (EAST HAMPTON),20373,9/9/2023,,,,X,X,,X,,,X,,,4,X,X,X,,X,X,,,,,,,,,X,,X,,,
Blackledge River (MARLBOROUGH),19455,10/17/2023,,X,,,X,,,X,,,,,3,X,X,,X,X,X,,X,,,,X,,,,,,,,
Bradley Brook (BURLINGTON),14608,10/14/2023,,,,,,,X,,,X,,,2,X,X,,,,X,,,X,,,X,,X,X,,X,,,
Brothers Brook (GREENWICH),20888,11/9/2023,,,,,,,,,,,,,0,X,X,,,,,,X,,,,,,X,,,,,,
Burnham Brook (EAST HADDAM),20492,5/5/2023,,,,,,,X,,,X,,,2,,,,X,X,,,,,,,,,,X,,,,,
Burnham Brook (EAST HADDAM),20882,11/3/2023,,,,X,X,,X,,,,,,4,X,X,X,,X,,X,,,,,,,X,,,,,,
Carmel Hill Brook (WOODBURY),20486,9/17/2023,,X,,X,X,,,,,X,,,4,X,,X,X,,X,,,,,,X,,,,,X,,,
Cedar Brook (LYME),15501,10/27/2023,,,,,X,,X,,,,,,2,X,X,X,,X,X,,,,,,,,X,X,X,,,,
Conantville Brook (MANSFIELD),20877,11/15/2023,,,,,,,X,X,,X,,,4,X,X,X,,,,,,X,,,X,,X,X,X,,X,,
Cooks Pond outlet; unnamed brook (PRESTON),20878,10/23/2023,,,,,,,,,,,,,0,X,X,X,,X,,,X,X,X,,,,X,,,,,,
Cranberry Meadow Brook (EAST LYME),20375,10/31/2023,,,,X,X,,X,,,,,,3,,X,X,X,X,X,X,,,,,,,X,X,X,,X,,
East Meadow Brook (WOODBURY),18993,9/16/2023,,X,,,X,,,X,,,,,3,X,,X,,X,X,,,,,,X,,X,X,X,X,X,,
Elbow Brook (EAST HAMPTON),20881,10/1/2023,,,,X,X,,,X,X,X,,,5,X,X,X,X,X,X,,,,,,,,X,,X,X,,,
English Neighborhood Brook (WOODSTOCK),17867,11/12/2023,,X,,X,,,X,X,X,X,,,7,X,X,X,X,X,,,X,,,,X,,X,X,X,,,,
Fawn Brook (MARLBOROUGH),18409,10/17/2023,,X,,,X,,X,X,,,,,4,X,X,X,X,,X,,,,,,,,X,X,X,X,X,,
Flat Brook (EAST HAMPTON),16121,9/16/2023,,X,,,X,,X,,,,X,,4,X,X,X,X,X,X,,,,,,,,X,X,X,,,,
Fourmile River (EAST LYME),17322,10/24/2023,,,,,X,,,,,,X,,2,X,X,X,,,X,,,,,,,,X,,,,,,
Fraser Brook (SALEM),18961,4/28/2023,,,X,,X,,X,,,X,,,4,X,,,X,X,,,,,,,,,,X,,,,,
Fraser Brook (SALEM),20884,11/3/2023,,,,X,X,,,,,,,,2,X,,X,X,X,X,,,,,,,,,X,,,,,
Greenwich Creek (GREENWICH),20889,11/28/2023,,,,,,,,,,,,,0,X,,,,,,,,,,,,,X,,,,,,
Harris Brook (SALEM),15313,4/28/2023,,X,,,X,,,X,,X,,,4,X,X,X,X,X,X,,,,,,,,X,X,,,,,
Harris Brook (SALEM),19214,4/28/2023,X,X,,,X,,,X,,X,X,,6,X,X,,,X,X,,,,,,,,X,,,,,,
Harris Brook (SALEM),19214,10/27/2023,,X,,X,X,,,,,,,,3,X,X,X,X,X,X,X,,,,,,,X,X,,,,,
Harris Brook (SALEM),20883,11/3/2023,,X,,,X,,X,X,,,,,4,X,X,X,X,X,X,,,,,,,,X,X,,,X,,
Hedge Brook (EAST HADDAM),20126,11/3/2023,,,,X,X,,,,,,,,2,X,X,X,,X,X,,,,,,,,,X,,,X,,
Hedge Brook (EAST HADDAM),20126,5/5/2023,,,,,,,X,,,X,,,3,,X,,,X,,,,,,,X,,X,X,,X,,,
Indian Meadow Brook (WINCHESTER),14842,10/16/2023,,X,X,X,X,,X,X,,X,,,8,X,X,,,X,X,,,,,,X,,X,X,X,X,,,
Latimer Brook (EAST LYME),18413,10/24/2023,,,,,X,,,,,,X,,2,X,X,X,X,X,X,X,X,,,,,,X,X,X,,X,,
Latimer Brook (EAST LYME),18495,10/24/2023,,,,,X,,,X,,,X,,3,X,X,X,X,,X,,X,X,X,,,,X,X,X,,,,
Little Dam Tavern Brook (PUTNAM),20876,11/16/2023,,,,,X,,X,,X,,X,,4,X,X,X,,X,X,,,,,,X,,X,X,X,X,,,
Moodus River (EAST HADDAM),18871,11/12/2023,,,,,X,,X,,,X,,,4,X,X,X,,,,,X,,,,,,X,X,,X,,,
Moosehorn Brook (GRANBY),16861,10/31/2023,,,,,X,X,,,,X,,,3,X,,X,,X,X,,,,,,,,,X,,,,,
Morgan Brook (BARKHAMSTED),20887,9/17/2023,,X,,,X,X,X,,,X,,,5,X,X,X,X,X,X,,,,,,,,,X,,X,,,
Muddy Brook (EAST HADDAM),18694,5/5/2023,,,X,X,X,,,,,X,,,4,X,X,,,,X,,,,,,,,X,X,,X,,,
NNT to Bunnell Brook (Burlington),20666,10/4/2023,,,,X,X,,X,,,X,,,5,X,X,,X,,,,,,,,,,,X,,,,,
NNT to Eightmile at Pleasant Valley Preserve (LYME),15314,10/27/2023,,,,X,X,,,,,,,,2,X,X,X,,X,X,X,X,,,,,,X,X,,,,,
NNT to Eightmile at Pleasant Valley Preserve (LYME),15314,5/5/2023,,,,,,,X,,,X,,,2,,,X,,X,X,,,,,,X,,,X,,,,,
NNT to Farmington River (BARKHAMSTED),20885,9/19/2023,,,,X,,,X,,,X,X,,5,X,X,X,,,,,X,,,,X,,X,X,,,,,
NNT to Shepaug River (WASHINGTON),18922,9/25/2023,,,,X,,,,X,,,,,2,X,X,X,,X,X,,,,,,,,,X,,,,,
Peake Brook (WOODSTOCK),17650,10/26/2023,,,,X,X,,X,X,X,X,X,,7,X,X,X,X,X,X,,X,,,,X,,X,X,X,X,,,
Peckham Brook (WOODSTOCK),17731,10/16/2023,,,,X,X,,X,X,,X,,,5,X,X,X,X,,X,,,X,,,X,,X,X,,X,,,
Pine Brook (HADDAM),14396,10/18/2023,,,,,X,,X,X,,,,,4,X,X,X,X,X,X,,,,,,X,,,,,X,,,
Railroad Brook (VERNON),16995,10/28/2023,,,,,X,,X,X,,X,,,4,X,X,X,X,,X,,,,,,,,X,X,X,,,,
Ransom Brook (SALEM),19215,4/28/2023,,,,,X,,X,,,X,,,3,X,X,X,,X,X,,,,,,,,,X,,,,,
Ransom Brook (SALEM),19215,10/27/2023,,,,X,X,,,,,,X,,3,X,X,X,,,X,X,,,,,,,,X,,,,,
Raymond Brook (HEBRON),16999,10/29/2023,,X,,,X,,X,X,,,X,,5,X,X,X,X,X,X,,X,,,,,,,X,X,X,,,
Reichenbach Brook (WOODBURY),20154,9/16/2023,,,,,X,,,X,,X,,,3,X,X,X,,X,,,,,,,X,,X,X,,X,,,
Rickenback Brook (VERNON),20371,10/28/2023,,,,,X,,,,,,,,1,X,X,X,,,X,,,,,,,,X,X,,,,,
Safford Brook (WOODSTOCK),20880,11/17/2023,,,X,X,X,,X,X,X,,,X,10,X,X,X,X,X,,,,,,,,,,X,,X,,,
Salmon Brook (EAST GRANBY),14435,9/2/2023,,X,,,X,,,X,,,X,,4,X,X,X,X,,X,,,,,,X,,X,,X,X,X,,
Salmon River (COLCHESTER),17022,9/9/2023,,X,X,,X,,,X,,,,,4,X,X,,X,,,,,,,,,,,,X,,X,,
Scranton Brook (UNION),20879,11/30/2023,,,,X,X,,X,X,,X,,X,9,X,X,X,X,,X,,,,,,X,,,X,,X,,,
Thompson Brook (AVON),20886,10/26/2023,,,,,X,,,,,X,,,2,X,X,X,X,,X,X,,X,X,,X,,X,,,X,,,
Wood Creek (BETHLEHEM),17333,9/16/2023,,X,X,X,X,X,X,,,X,,,8,X,X,X,X,X,,,,,,,,,X,X,X,X,,,
