Local RBV Program,Coordinators
Three Rivers Community College,Diba Khan-Bureau
Eightmile River Wild & Scenic Watershed,Pat Young
Salmon River Watershed Partnership,Pat Young
Vernon Conservation Commission,Carly Andrulat & Jeff Carlson
Greenwich Inland Wetlands & Watercourses Agency,Jennifer Urena
East Lyme Commission for the Conservation of Natural Resources,Don Danila
Bolton Conservation Commission,Rod Parlee
The Last Green Valley,Emma MacDonald
Trout Unlimited - Candlewood Valley Chapter,Joseph Hovious
Pomperaug River Watershed Coalition,Carol Haskins
Harbor Watch,Marisa Olivara
The Maritime Aquarium,Bridget Cervero
