"CTDEEPLablD","Stream","SID..Station","Rep","Subsample.Duplicate.Notes","Device","Habitat","DATE_COL","SAMPTYPE","LAB_NAME","LAB_SAMPLE_ID","TAXONOMIST","LAB_TIN","finalID","DEEPTaxaID","LIFE_STAGE","ABUNDANCE","X._SUB","CORRECTED","X._IN_RC","IMMATURE","INDETERMINATE","CONDITION","DISTINCT","AGGREGATED","LAB_COM","KINGDOM","PHYLUM","SUBPHYLUM","CLASS","SUBCLASS","INFRACLASS","SUPERORDER","ORDER","SUBORDER","INFRAORDER","SUPERFAMILY","FAMILY","SUBFAMILY","TRIBE","SUBTRIBE","GENUS","SUBGENUS","SPECIES","SUBSPECIES","ADDITIONS","SERIAL"
"RBV-2023-001","Fawn Brook",18409,1,"RBV","KN1M2","Riffle","10/17/2023","ABM-RBV","EcoAnalysts","8436.3-1","B. LaVoie",1373,"Corydalus sp.","(Not on List)","Larvae",2,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Neuropterida","Megaloptera","",NA,"","Corydalidae","Corydalinae","",NA,"Corydalus",NA,"sp.",NA,NA,115033
"RBV-2023-002","Raymond Brook",16999,1,"RBV","KN1M2","Riffle","10/29/2023","ABM-RBV","EcoAnalysts","8436.3-2","B. LaVoie",1373,"Corydalus sp.","(Not on List)","Larvae",1,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Neuropterida","Megaloptera","",NA,"","Corydalidae","Corydalinae","",NA,"Corydalus",NA,"sp.",NA,NA,115033
"RBV-2023-004","Salmon River",17022,1,"RBV","KN1M2","Riffle","9/9/2023","ABM-RBV","EcoAnalysts","8436.3-4","B. LaVoie",1373,"Corydalus sp.","(Not on List)","Larvae",1,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Neuropterida","Megaloptera","",NA,"","Corydalidae","Corydalinae","",NA,"Corydalus",NA,"sp.",NA,NA,115033
"RBV-2023-005","Moodus River",18871,1,"RBV","KN1M2","Riffle","11/12/2023","ABM-RBV","EcoAnalysts","8436.3-5","B. LaVoie",1373,"Corydalus sp.","(Not on List)","Larvae",1,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Neuropterida","Megaloptera","",NA,"","Corydalidae","Corydalinae","",NA,"Corydalus",NA,"sp.",NA,NA,115033
"RBV-2023-006","Blackledge River",19455,1,"RBV","KN1M2","Riffle","10/17/2023","ABM-RBV","EcoAnalysts","8436.3-6","B. LaVoie",1373,"Corydalus sp.","(Not on List)","Larvae",1,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Neuropterida","Megaloptera","",NA,"","Corydalidae","Corydalinae","",NA,"Corydalus",NA,"sp.",NA,NA,115033
"RBV-2023-026","NNT to Eightmile at Pleasant Valley Preserve",15314,1,"RBV","KN1M2","Riffle","5/5/2023","ABM-RBV","EcoAnalysts","8436.3-26","B. LaVoie",1530,"Remenus sp.","(Not on List)","Larvae",1,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Plecoptera","",NA,"","Perlodidae","","",NA,"Remenus",NA,"sp.",NA,NA,103099
"RBV-2023-030","Burnham Brook",20492,1,"RBV","KN1M2","Riffle","5/5/2023","ABM-RBV","EcoAnalysts","8436.3-30","B. LaVoie",1530,"Remenus sp.","(Not on List)","Larvae",7,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Plecoptera","",NA,"","Perlodidae","","",NA,"Remenus",NA,"sp.",NA,NA,103099
"RBV-2023-033","Hedge Brook",20126,1,"RBV","KN1M2","Riffle","5/5/2023","ABM-RBV","EcoAnalysts","8436.3-33","B. LaVoie",1874,"Helocombus sp.","(Not on List)","Adults",1,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Coleoptera","Polyphaga",NA,"","Hydrophilidae","","",NA,"Helocombus",NA,"sp.",NA,NA,113148
"RBV-2023-033","Hedge Brook",20126,1,"RBV","KN1M2","Riffle","5/5/2023","ABM-RBV","EcoAnalysts","8436.3-33","B. LaVoie",1530,"Remenus sp.","(Not on List)","Larvae",2,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Plecoptera","",NA,"","Perlodidae","","",NA,"Remenus",NA,"sp.",NA,NA,103099
"RBV-2023-034","Harris Brook",19214,1,"RBV","KN1M2","Riffle","4/28/2023","ABM-RBV","EcoAnalysts","8436.3-34","B. LaVoie",1373,"Corydalus sp.","(Not on List)","Larvae",1,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","Neuropterida","Megaloptera","",NA,"","Corydalidae","Corydalinae","",NA,"Corydalus",NA,"sp.",NA,NA,115033
"RBV-2023-035","Salmon Brook",14435,1,"RBV","KN1M2","Riffle","9/2/2023","ABM-RBV","EcoAnalysts","8436.3-35","B. LaVoie",1990,"Protoplasa sp.","(Not on List)","Larvae",1,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Diptera","Nematocera",NA,"","Tanyderidae","","",NA,"Protoplasa",NA,"sp.",NA,NA,125800
"RBV-2023-035","Salmon Brook",14435,1,"RBV","KN1M2","Riffle","9/2/2023","ABM-RBV","EcoAnalysts","8436.3-35","B. LaVoie",11821,"Iswaeon sp.","(Not on List)","Larvae",2,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","","","","Ephemeroptera","",NA,"","Baetidae","","",NA,"Iswaeon",NA,"sp.",NA,NA,776928
"RBV-2023-038","NNT to Farmington River",20885,1,"RBV","KN1M2","Riffle","9/19/2023","ABM-RBV","EcoAnalysts","8436.3-38","B. LaVoie",1526,"Malirekus sp.","(Not on List)","Larvae",10,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Plecoptera","",NA,"","Perlodidae","","",NA,"Malirekus",NA,"sp.",NA,NA,103174
"RBV-2023-038","NNT to Farmington River",20885,1,"RBV","KN1M2","Riffle","9/19/2023","ABM-RBV","EcoAnalysts","8436.3-38","B. LaVoie",1415,"Amiocentrus aspilus","(Not on List)","Larvae",1,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Neoptera","","Trichoptera","",NA,"","Brachycentridae","","",NA,"Amiocentrus",NA,"Amiocentrus aspilus",NA,NA,116934
"RBV-2023-039","Thompson Brook",20886,1,"RBV","KN1M2","Riffle","10/26/2023","ABM-RBV","EcoAnalysts","8436.3-39","B. LaVoie",1,"Hydra sp.","(Not on List)","N/A",4,"N/A","N/A",0,"N","N","N","Y",0,"","Animalia","Cnidaria","","Hydrozoa","","","","Anthoathecatae","",NA,"","Hydridae","","",NA,"Hydra",NA,"sp.",NA,NA,50845
