"AWQ..Station","WaterbodyName","ylat","xlong"
18409,"Fawn Brook",41.604581,-72.41875
16999,"Raymond Brook",41.6128,-72.3681
16121,"Flat Brook",41.5544,-72.4523
17022,"Salmon River",41.548315,-72.451615
18871,"Moodus River",41.50859,-72.44826
19455,"Blackledge River",41.60413,-72.41969
20373,"Salmon River, Unnamed tributary to",41.548378,-72.451013
14396,"Pine Brook",41.5079,-72.4952
17731,"Peckham Brook",41.977079,-71.96291
20876,"Little Dam Tavern Brook",41.924731,-71.875763
20877,"Conantville Brook",41.733021,-72.211935
17867,"English Neighborhood Brook",41.998,-72.0201
20878,"Cooks Pond outlet; unnamed brook (""Cooktown Pond outlet"")",41.497331,-71.974786
17650,"Peake Road",41.925256,-71.946917
20879,"Scranton Brook",41.981808,-72.164796
20880,"Safford Brook",41.950301,-72.034227
20881,"Elbow Brook",41.519391,-72.482381
20882,"Burnham Brook ",41.465961,-72.321251
15314,"Eightmile River, Unnamed tributary to (""PV Brook"")",41.4155,-72.3396
20883,"Harris Brook ",41.472591,-72.286191
15501,"Cedar Pond Brook",41.4119,-72.3128
19214,"Harris Brook",41.487386,-72.27044
19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",41.454943,-72.283556
17992,"Big Brook",41.50446,-72.28783
18694,"Muddy Brook",41.475969,-72.342916
15314,"Eightmile River, Unnamed tributary to (""PV Brook"")",41.4155,-72.3396
19215,"East Branch Eightmile River, Unnamed tributary to (""Ransom Brook"")",41.454943,-72.283556
20126,"Hedge Brook",41.45207,-72.33766
15313,"Harris Brook",41.4733,-72.2851
20492,"Burnham Brook",41.4653,-72.3245
20884,"Fraser Brook ",41.477781,-72.254441
18961,"Fraser Brook",41.48108,-72.25275
20126,"Hedge Brook",41.45207,-72.33766
19214,"Harris Brook",41.487386,-72.27044
14435,"Salmon Brook",41.9366,-72.7749
14842,"Indian Meadow Brook",41.9305,-73.079
20666,"Bunnell Brook, Unnamed tributary to",41.780363,-72.983658
20885,"NNT to Farmington River",41.939721,-73.009722
20886,"Thompson Brook",41.773291,-72.840181
14608,"Burlington Fish Hatchery",41.7689,-72.9542
20887,"Morgan Brook",41.908601,-73.000677
16861,"Moosehorn Brook",41.97486,-72.872207
15680,"Beaver Brook",41.9513,-72.9958
16379,"Barbour Brook",41.8606,-72.9132
18922,"Shepaug River, Unnamed Tributary to",41.62301,-73.32809
20888,"Brothers Brook",41.047918,-73.600808
16995,"Railroad Brook",41.827722,-72.448279
15594,"Barrows Brook",41.8402,-72.4365
20371,"Rickenback Brook",41.833611,-72.443056
20889,"Greenwich Creek ",41.054181,-73.610201
18495,"Latimer Brook",41.367256,-72.20808
20375,"Cranberry Meadow Brook",41.414897,-72.245362
17322,"Fourmile River",41.339,-72.2592
18413,"Latimer Brook",41.383973,-72.21429
18821,"Baker Brook (East branch headwaters)",41.747943,-72.4241
18993,"East Meadow Brook",41.555091,-73.197062
20486,"Carmel Hill Brook",41.592244,-73.239002
20154,"Reichenback Brook",41.575853,-73.171052
17333,"Wood Creek",41.6275,-73.2257
