Monitoring Organization,Local RBV Program,code,Coordinator(s)
Three_Rivers_Community_College,Three Rivers Community College,TRCC,Diba Khan-Bureau
Eightmile_River_Wild_&_Scenic_Watershed,Eightmile River Wild & Scenic Watershed,8MILE,Pat Young
Salmon_River_Watershed_Partnership,Salmon River Watershed Partnership,SRWP,Pat Young
Vernon_Conservation_Commission,Vernon Conservation Commission,VCC,Carly Andrulat & Jeff Carlson
Greenwich_Inland_Wetlands_&_Watercourses_Agency,Greenwich Inland Wetlands & Watercourses Agency,GIWWA,Jennifer Urena
East_Lyme_Commission_for_the_Conservation_of_Natural_Resources,East Lyme Commission for the Conservation of Natural Resources,ELCC,Don Danila
Bolton_Conservation_Commission,Bolton Conservation Commission,BCC,Rod Parlee
The_Last_Green_Valley,The Last Green Valley,TLGV,Cassidy Plaud
Trout_Unlimited_-_Candlewood_Valley_Chapter,Trout Unlimited - Candlewood Valley Chapter,CVTU,Joseph Hovious
Pomperaug_River_Watershed_Coalition,Pomperaug River Watershed Coalition,PRWC,Carol Haskins
other,Harbor Watch,HW,Marisa Olivara
Other/Not_Listed_-_Please_explain_in_sample_comments_section,The Maritime Aquarium,TMA,Bridget Cervero
DEEP_RBV_Training,RBV Training,CTDEEP,
